id,X,Y,Year,Operator
HV180,337761.459,6382784.13,2004,Odgers
HV181,342717.435,6380059.01,2004,Odgers
HV183,348681.27,6378488.12,2004,Odgers
HV184,350224.887,6372616.12,2004,Odgers
HV186,340581.473,6381986.86,2004,Odgers
HV188,349758.813,6373386.47,2004,Odgers
HV189,345164.349,6375692.41,2004,Odgers
HV190,347959.261,6371895.14,2004,Odgers
HV191,339432.103,6381088.89,2004,Odgers
HV192,341735.396,6380196.46,2004,Odgers
HV193,339255.643,6368781.02,2004,Odgers
HV194,344230.89,6369491.61,2004,Odgers
HV196,340507.697,6365772.42,2004,Odgers
HV197,343878.032,6381684.28,2004,Odgers
HV198,344829.705,6372761.57,2004,Odgers
HV199,342759.385,6366193.33,2004,Odgers
HV200,344222.056,6381095.24,2004,Odgers
HV201,338562.371,6369883.25,2004,Odgers
HV202,347473.393,6378393.13,2004,Odgers
HV203,340363.338,6376187.49,2004,Odgers
HV204,341628.322,6379090.15,2004,Odgers
HV205,346563.073,6379488.11,2004,Odgers
HV207,340018.558,6375073.99,2004,Odgers
HV207B,339968.488,6375098.69,2004,Odgers
HV208,340539.689,6379097.13,2004,Odgers
HV209,346983.853,6370388.49,2004,Odgers
HV210,343330.08,6364982.43,2004,Odgers
HV211,339571.742,6374886,2004,Odgers
HV212,348513.058,6371580.9,2004,Odgers
HV213,335158.042,6379483.97,2004,Odgers
HV215,337862.432,6378091.13,2004,Odgers
HV217,341564.585,6378383.79,2004,Odgers
HV218,346811.036,6370781.74,2004,Odgers
HV219,345324.244,6374394.03,2004,Odgers
HV220,344509.241,6377187.12,2004,Odgers
HV222,343807.607,6374478.94,2004,Odgers
HV223,340765.88,6374583.61,2004,Odgers
HV224,341309.716,6381193.35,2004,Odgers
HV225,339445.438,6381192.25,2004,Odgers
HV227,335700.709,6374570.87,2004,Odgers
HV228,336837.594,6382783.43,2004,Odgers
HV229,347550.347,6374970.8,2004,Odgers
HV230,341106.442,6379889.2,2004,Odgers
HV231,339008.448,6380785.92,2004,Odgers
HV232,344858.992,6369695.56,2004,Odgers
HV234,335979.833,6375487.15,2004,Odgers
HV235,338758.713,6374685.38,2004,Odgers
HV236,345615.384,6374593.75,2004,Odgers
HV239,345163.575,6369984.24,2004,Odgers
HV240,340728.254,6369987.09,2004,Odgers
HV241,338433.527,6372786.91,2004,Odgers
HV243,341040.212,6370393.58,2004,Odgers
HV244,347625.234,6370223.16,2004,Odgers
HV245,341727.901,6382493.15,2004,Odgers
HV246,341751.815,6379695.44,2004,Odgers
HV248,337878.892,6379380.13,2004,Odgers
