X_REF,Y_REF,elevation,yield,ECs,ECd
874445.246,6550054.78,127.526203,3.83695852,5.46672655,5.77449034
874455.246,6550054.78,127.495714,3.7132964,5.49506271,5.79033414
874465.246,6550054.78,127.449649,3.52119352,5.54801386,6.09628763
874475.246,6550054.78,127.34468,3.36547799,6.22329805,6.81420906
874485.246,6550054.78,127.20163,3.18547049,6.73198468,7.37031171
874495.246,6550054.78,127.073314,2.80830192,6.79345739,7.11560315
874505.246,6550054.78,126.971204,2.92589378,6.86523314,7.16995946
874515.246,6550054.78,126.847736,2.94350191,7.06264763,7.22639287
874525.246,6550054.78,126.746842,2.79234013,7.23586565,7.13049032
874535.246,6550054.78,126.677501,3.24553433,7.11140619,7.0580584
874545.246,6550054.78,126.647339,3.50555902,6.77127906,6.94345855
874555.246,6550054.78,126.612905,3.75782375,6.91961408,6.7869388
874565.246,6550054.78,126.5535,3.72780653,6.98126408,6.67353697
874575.246,6550054.78,126.522678,3.29570465,6.04299651,6.63348296
874585.246,6550054.78,126.47679,3.62570952,6.07869479,6.41372355
874595.246,6550054.78,126.415393,3.69171087,6.44413233,6.43788455
874605.246,6550054.78,126.357608,3.8648389,6.79903031,6.8022266
874615.246,6550054.78,126.31647,4.19318253,7.00202925,7.34301852
874625.246,6550054.78,126.237584,4.5662395,7.81410161,7.77201919
874635.246,6550054.78,126.153781,4.70041123,8.56530722,7.76743505
874645.246,6550054.78,126.108857,4.29580945,7.6777766,7.71734197
874655.246,6550054.78,126.077416,4.14867912,7.45563409,7.52078108
874665.246,6550054.78,126.019259,4.29645387,7.01268043,6.83112927
874675.246,6550054.78,125.945404,4.26597176,6.65813889,6.6027749
874685.246,6550054.78,125.817724,4.21841726,6.39598212,6.73488005
874695.246,6550054.78,125.647734,4.29920448,6.71591444,7.20092867
874705.246,6550054.78,125.513931,4.37134176,7.75711122,7.53787265
874715.246,6550054.78,125.368778,4.27464048,7.8897938,7.1301338
874725.246,6550054.78,125.216995,4.5886231,7.73170958,6.79046892
874735.246,6550054.78,125.072238,4.36317499,7.41933923,6.64490237
874745.246,6550054.78,124.973842,5.49643665,7.98033188,7.45213076
874755.246,6550054.78,124.888448,6.81202886,9.30842589,8.17009062
874385.246,6550044.78,127.275401,2.68400478,7.20215293,7.45921365
874395.246,6550044.78,127.290745,2.60348257,6.56196434,6.82750973
874405.246,6550044.78,127.289842,2.55844589,6.09750701,6.12133371
874415.246,6550044.78,127.360479,2.80726304,5.96566182,6.01105335
874425.246,6550044.78,127.467487,3.28441975,5.76185805,6.10989752
874435.246,6550044.78,127.48239,3.6401686,5.41552593,6.04190887
874445.246,6550044.78,127.440392,3.75726012,5.82226872,6.22983595
874455.246,6550044.78,127.381471,3.694961,5.50589865,6.19814467
874465.246,6550044.78,127.31331,3.57026563,5.58827135,6.1750069
874475.246,6550044.78,127.217871,3.49034296,5.84624749,6.6864962
874485.246,6550044.78,127.100821,3.40552802,6.29320198,7.11581662
874495.246,6550044.78,127.019211,3.2011176,6.67847722,6.92390558
874505.246,6550044.78,126.955655,3.13064796,6.80426758,6.81339141
874515.246,6550044.78,126.865306,3.10874777,6.96808195,7.00567125
874525.246,6550044.78,126.795032,2.67679451,6.93416054,7.09762343
874535.246,6550044.78,126.732657,2.9617787,6.96912724,7.12236619
874545.246,6550044.78,126.684704,3.33912902,7.09989503,7.00700246
874555.246,6550044.78,126.626183,3.52048935,7.51010915,6.89081937
874565.246,6550044.78,126.55125,3.79779259,6.96271859,6.54551446
874575.246,6550044.78,126.485787,3.2359094,6.72572684,6.46808446
874585.246,6550044.78,126.431359,3.1131342,6.68402265,6.71389997
874595.246,6550044.78,126.342546,2.61491084,7.17232593,7.23629981
874605.246,6550044.78,126.281856,2.57078166,7.40148015,7.51131087
874615.246,6550044.78,126.238932,3.4919838,8.10102016,7.85986947
874625.246,6550044.78,126.151085,3.9925495,8.22419155,8.15547923
874635.246,6550044.78,126.070454,4.10501748,8.74043535,8.26095336
874645.246,6550044.78,126.0352,4.12464518,8.21194663,8.2100581
874655.246,6550044.78,126.000625,4.11159076,7.57732322,7.31970481
874665.246,6550044.78,125.925204,4.06039395,6.91304357,6.42264483
874675.246,6550044.78,125.811891,4.16043651,6.70202688,6.69894466
874685.246,6550044.78,125.690109,3.83293183,6.90482194,6.80331504
